Diversity,Population,Freq_Light,Freq_Dark
4.901316429749447,500,500,0
4.877394902340244,592,592,0
4.867022393947842,692,692,0
4.849449886929149,822,822,0
4.839377012010218,971,971,0
4.844614610007055,1139,1139,0
4.845484785609256,1354,1354,0
4.84621128955962,1574,1573,1
4.837852965164316,1850,1849,1
4.837891788897677,2212,2211,1
4.837309315252981,2638,2637,1
4.836561883116946,3876,3874,2
4.834372488768806,5713,5710,3
4.841386679068395,8427,8422,5
4.848756166400403,12554,12543,11
4.858229070018133,18621,18602,19
4.86618458184553,27503,27468,35
4.873532636364175,40677,40611,66
4.8786654623968,60107,59989,118
4.885707931483714,88886,88680,206
